,model,price,mileage,cylinder,daysOnMarket,city,dealer,year,trim,driveline,transmission
0,toyota_tacoma,34599,59972.0,6.0,24,Montclair,IE Motors Direct,2022,SR V6,4X4,automatic
1,toyota_camry,20899,78094.0,4.0,59,Montclair,IE Motors Direct,2020,XSE,FWD,automatic
2,toyota_corolla,20399,44934.0,4.0,9,Montclair,IE Motors Direct,2021,SE,FWD,automatic
3,toyota_camry hybrid,26699,14596.0,4.0,55,Montclair,IE Motors Direct,2022,SE,FWD,automatic
4,toyota_sienna,39141,39898.0,4.0,23,Montclair,IE Motors Direct,2021,XLE 8-Passenger,FWD,automatic
5,toyota_venza,25299,47093.0,4.0,23,Montclair,IE Motors Direct,2021,LE,AWD,automatic
6,toyota_corolla,17599,59078.0,4.0,15,Montclair,IE Motors Direct,2020,SE,FWD,automatic
7,toyota_rav4 hybrid,37499,24735.0,4.0,16,Montclair,IE Motors Direct,2023,XSE,AWD,automatic
8,toyota_corolla hybrid,20999,61224.0,,102,Montclair,IE Motors Direct,2022,LE,FWD,automatic
9,toyota_c_hr,16799,51155.0,4.0,50,Montclair,IE Motors Direct,2018,XLE,FWD,automatic
10,toyota_corolla hatchback,17923,70579.0,4.0,58,Santa Ana,California Motors Direct,2019,SE,FWD,manual
11,toyota_tacoma,36664,21516.0,6.0,51,Santa Ana,California Motors Direct,2022,SR V6,4X4,automatic
12,toyota_camry,24996,56734.0,6.0,37,Santa Ana,California Motors Direct,2019,XSE V6,FWD,automatic
13,toyota_corolla,16699,62520.0,4.0,35,Santa Ana,California Motors Direct,2021,LE,FWD,automatic
14,toyota_prius,20199,69135.0,4.0,45,Santa Ana,California Motors Direct,2019,L Eco,FWD,automatic
15,toyota_tacoma,51599,,4.0,55,Santa Ana,California Motors Direct,2024,SR5,4X4,automatic
16,toyota_camry hybrid,23696,61719.0,4.0,162,Santa Ana,California Motors Direct,2021,SE,FWD,automatic
17,toyota_tacoma,44699,41617.0,6.0,122,Santa Ana,California Motors Direct,2021,SR V6,4X4,automatic
